	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
163	37	897	5967	37	897	5967	Full
164	1	0	0	37	897	5967	Different
165	1	0	0	5627	5998	32799	Different
166	76	57	2645,22251	76	891	264522251	Different
167	1	0	0	3870	5627	32799	Different
168	1688	2479	7591	1688	2477	7591	MatchOnPath
169	209	868	77	209	868	77	Full
170	1	0	0	24	884	5151	Different
171	1	0	0	37	897	5967	Different
172	37	897	5967	37	897	5967	Full
173	37	897	5967	37	897	5967	Full
174	37	897	5967	37	897	5967	Full
175	24	884	5151	24	884	5151	Full
176	24	884	5151	24	884	5151	Full
177	24	884	5151	24	884	5151	Full
178	1	0	0	24	884	5151	Different
179	1	0	0	24	884	5151	Different
180	1	0	0	24	884	5151	Different
181	37	897	5967	37	897	5967	Full
182	1	0	0	37	897	5967	Different
183	47	642	7593	56	642	7593	MatchOnPath
184	1	0	0	24	884	5151	Different
185	1	0	0	24	884	5151	Different
186	37	897	5967	37	897	5967	Full
187	37	897	5967	37	897	5967	Full
188	712	1499	7593	712	1498	7593	MatchOnPath
189	724	1500	7593	732	1500	7593	MatchOnPath
190	37	897	5967	37	897	5967	Full
191	37	897	5967	37	897	5967	Full
192	37	897	5967	37	897	5967	Full
193	1	0	0	24	884	5151	Different
194	37	897	5967	37	897	5967	Full
195	37	897	5967	37	897	5967	Full
196	37	897	5967	37	897	5967	Full
197	1	0	0	24	884	5151	Different
198	1	0	0	24	884	5151	Different
199	24	884	5151	24	884	5151	Full
200	24	884	5151	24	884	5151	Full
201	24	884	5151	24	884	5151	Full
202	37	897	5967	37	897	5967	Full
203	37	897	5967	37	897	5967	Full
204	24	884	5151	24	884	5151	Full
205	24	884	5151	24	884	5151	Full
206	124	642	7593	124	642	7593	Full
207	24	884	5151	24	884	5151	Full
208	37	897	5967	37	897	5967	Full
209	25	884	5151	25	884	5151	Full
210	24	884	5151	24	884	5151	Full
211	24	884	5151	24	884	5151	Full
212	24	884	5151	24	884	5151	Full
213	37	897	5967	37	897	5967	Full
214	24	884	5151	24	884	5151	Full
215	37	897	5967	37	897	5967	Full
216	37	897	5967	37	897	5967	Full
217	1688	2479	7591	712	1498	7593	Different
218	1	0	0	37	897	5967	Different
219	1688	2479	7591	1688	2479	7591	Full
220	124	642	7593	124	642	7593	Full
221	24	884	5151	24	884	5151	Full
222	37	897	5967	37	897	5967	Full
223	88	642	7593	88	642	7593	Full
224	37	894	5967	37	894	5967	Full
225	37	897	5967	37	897	5967	Full
226	1	0	0	10685	11989	27823	Different
227	37	897	5967	37	897	5967	Full
228	1	0	0	15310	17034	655	Different
229	15102	16757	33285	15102	16757	33285	Full
230	1	0	0	9173	10297	2227	Different
231	1	0	0	37	897	5967	Different
232	37	897	5967	37	897	5967	Full
233	37	897	5967	37	897	5967	Full
234	24	836	5151	24	836	5151	Full
235	24	836	5151	24	836	5151	Full
236	24	836	5151	24	836	5151	Full
237	24	836	5151	24	836	5151	Full
238	24	836	5151	24	836	5151	Full
239	196	957	117	196	957	117	Full
240	37	897	5967	37	897	5967	Full
241	37	897	5967	37	897	5967	Full
242	455	1894	20533	455	1894	20533	Full
243	24	884	5151	24	884	5151	Full
244	24	884	5151	24	884	5151	Full
245	24	884	5151	24	884	5151	Full
246	37	897	5967	37	897	5967	Full
247	24	884	5151	24	884	5151	Full
248	1	0	0	37	893	5967	Different
249	24	884	5151	24	884	5151	Full
250	24	884	5151	24	884	5151	Full
251	24	884	5151	24	884	5151	Full
252	37	897	5967	37	897	5967	Full
253	37	897	5967	37	897	5967	Full
254	1	0	0	24	884	5151	Different
255	24	884	5151	24	884	5151	Full
256	1	0	0	24	884	5151	Different
257	24	884	5151	24	884	5151	Full
258	1	0	0	37	897	5967	Different
259	24	884	5151	24	884	5151	Full
260	1	0	0	37	897	5967	Different
261	24	884	5151	24	884	5151	Full
262	1	0	0	67	819	5967	Different
263	391	1230	28541	391	1230	28541	Full
264	1	0	0	26	884	5151	Different
265	1	0	0	37	897	5967	Different
266	1	0	0	37	897	5967	Different
267	1	0	0	37	897	5967	Different
