	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
77	(732) 7593+ (1500) , (1700) 7591+ (2477)	732, 1700	1500, 2477	7593,7591	732	1500	7593	Different	SinglePathFull
78	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
79	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
80	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
81	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
82	(24) 5151- (860)	24	860	5151	24	860	5151	Full	SinglePathFull
83	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
84	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different	SinglePathFull
85	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
86	(24) 5151- (854)	24	854	5151	24	854	5151	Full	SinglePathFull
87	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
88	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
89	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
90	(32) 5151- (884)	32	884	5151	32	884	5151	Full	SinglePathFull
91	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
92	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
93	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
94	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
95	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
96	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
97	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
98	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
99	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
100	(26) 5151- (884)	26	884	5151	26	884	5151	Full	SinglePathFull
101	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
102	(712) 7593+ (1500) , (1688) 7591+ (2464)	712, 1688	1500, 2464	7593,7591	712	1500	7593	Different	SinglePathFull
103	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
104	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
105	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
106	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
107	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
108	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
109	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
110	(33708) 1107- (35627)	33708	35627	1107	33708	35627	1107	Full	SinglePathFull
111	(20664) 7505- (22307)	20664	22307	7505	20664	22307	7505	Full	SinglePathFull
112	(38506) 33403+ (39663)	38506	39663	33403	38506	39663	33403	Full	SinglePathFull
113	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
114	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
115	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
116	(37) 5967+ (870)	37	870	5967	37	870	5967	Full	SinglePathFull
117	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
118	(303) 15353- (1118)	303	1118	15353	303	1118	15353	Full	SinglePathFull
119	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
120	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
121	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
122	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
123	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
124	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
125	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
126	(73) 5967+ (836)	73	836	5967	0	0	0	Different	Different
127	(73) 5967+ (857)	73	857	5967	0	0	0	Different	Different
128	(73) 5967+ (857)	73	857	5967	0	0	0	Different	Different
129	(93) 7593+ (642)	93	642	7593	93	642	7593	Full	SinglePathFull
130	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different	SinglePathFull
131	(712) 7593+ (1500) , (1688) 7591+ (2477)	712, 1688	1500, 2477	7593,7591	712	1500	7593	Different	SinglePathFull
132	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
133	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
134	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
135	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
136	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
137	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
138	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
139	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
140	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
141	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
142	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
143	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
144	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
145	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
146	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
147	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
148	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
149	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
150	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
151	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
152	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
153	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
154	(44) 5151- (772)	44	772	5151	0	0	0	Different	Different
155	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
156	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
157	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
158	(88) 7593+ (642)	88	642	7593	88	642	7593	Full	SinglePathFull
159	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
160	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
161	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
162	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
163	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
164	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
165	(5627) 32799- (5998)	5627	5998	32799	5627	5998	32799	Full	SinglePathFull
166	(76) 2645-, 22251- (57) , (76) 2645-, 23479+ (55)	76, 76	57, 55	2645, 22251,2645, 23479	76	891	264522251	Different	Different
167	(3870) 32799- (5627)	3870	5627	32799	3870	5627	32799	Full	SinglePathFull
168	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different	SinglePathFull
169	(209) 77- (868)	209	868	77	209	868	77	Full	SinglePathFull
170	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
171	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
172	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
173	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
174	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
175	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
176	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
177	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
178	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
179	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
180	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
181	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
182	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
183	(56) 7593+ (642)	56	642	7593	56	642	7593	Full	SinglePathFull
184	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
185	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
186	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
187	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
188	(712) 7593+ (1498) , (1688) 7591+ (2479)	712, 1688	1498, 2479	7593,7591	712	1498	7593	Different	SinglePathFull
189	(732) 7593+ (1500) , (1700) 7591+ (2477)	732, 1700	1500, 2477	7593,7591	732	1500	7593	Different	SinglePathFull
190	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
191	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
192	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
193	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
194	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
195	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
196	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
197	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
198	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
199	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
200	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
201	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
202	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
203	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
204	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
205	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
206	(124) 7593+ (642)	124	642	7593	124	642	7593	Full	SinglePathFull
207	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
208	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
209	(25) 5151- (884)	25	884	5151	25	884	5151	Full	SinglePathFull
210	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
211	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
212	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
213	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
214	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
215	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
216	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
217	(1688) 7591+ (2479) , (712) 7593+ (1498)	1688, 712	2479, 1498	7591,7593	712	1498	7593	Different	SinglePathMatch
