	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
339	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
340	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
341	(6668) 7845+ (7487)	6668	7487	7845	6668	7487	7845	Full	SinglePathFull
342	(13481) 4579+ (14614)	13481	14614	4579	13481	14614	4579	Full	SinglePathFull
343	(19427) 7827+ (20104)	19427	20104	7827	19427	20104	7827	Full	SinglePathFull
344	(23377) 3167- (24345)	23377	24345	3167	23377	24345	3167	Full	SinglePathFull
345	(1620) 3493- (2786)	1620	2786	3493	1620	2786	3493	Full	SinglePathFull
346	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
347	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
348	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
349	(56) 7593+ (642)	56	642	7593	56	642	7593	Full	SinglePathFull
350	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
351	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
352	(209) 77- (868)	209	868	77	209	868	77	Full	SinglePathFull
353	(3649) 499+ (4431)	3649	4431	499	3649	4431	499	Full	SinglePathFull
354	(1427) 499- (2158)	1427	2158	499	1427	2158	499	Full	SinglePathFull
355	(720) 173+ (1361)	720	1361	173	720	1361	173	Full	SinglePathFull
356	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
357	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
358	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
359	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
360	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
361	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
362	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
363	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
364	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
365	(46) 5967+ (888)	46	888	5967	46	888	5967	Full	SinglePathFull
366	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
367	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
368	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
369	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
370	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
371	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
372	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
373	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
374	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
375	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
376	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
377	(37) 5967+ (894)	37	894	5967	37	894	5967	Full	SinglePathFull
